CATEGORIA,COLOR,FRASE
Bebe,Amarillo,Bebe si llevas algo puesto de color negro.
Bebe,Amarillo,Bebe si has salido de fiesta esta semana.
Bebe,Amarillo,Bebe el que tenga el móvil con menos batería.
Bebe,Amarillo,Bebe si has mentido hoy sobre algo aunque sea pequeño.
Bebe,Amarillo,Bebe 3 segundos el que lleve más tiempo soltero o soltera.
Bebe,Amarillo,Bebe si te sabes la letra completa de una canción de reguetón.
Bebe,Amarillo,Bebe el que se levantó más tarde hoy.
Bebe,Amarillo,Bebe si has stalkeado el perfil de un ex esta semana.
Bebe,Amarillo,Beben todos los que lleven anillo o pulsera.
Bebe,Amarillo,Bebe el que tenga más fotos guardadas en el móvil.
Bebe,Amarillo,Bebe si alguna vez has fingido estar enfermo para librarte de un plan.
Bebe,Amarillo,Bebe el jugador que tienes a tu izquierda.
Bebe,Amarillo,Bebe si has llegado tarde a algo importante este mes.
Bebe,Amarillo,Beben todos menos el que empezó a jugar esta partida.
Bebe,Amarillo,Bebe si te gusta más el verano que el invierno.
Yo Nunca,Azul,Yo nunca he mandado un mensaje a la persona equivocada.
Yo Nunca,Azul,Yo nunca me he quedado dormido en clase o en el trabajo.
Yo Nunca,Azul,Yo nunca le he hecho ghosting a alguien.
Yo Nunca,Azul,Yo nunca he mentido sobre mi edad.
Yo Nunca,Azul,Yo nunca me he colado en una fiesta sin invitación.
Yo Nunca,Azul,Yo nunca he llorado viendo una película.
Yo Nunca,Azul,Yo nunca he tenido una app de citas.
Yo Nunca,Azul,Yo nunca he copiado en un examen.
Yo Nunca,Azul,Yo nunca he pedido perdón sin sentirlo de verdad.
Yo Nunca,Azul,Yo nunca he salido con alguien solo por su físico.
Yo Nunca,Azul,Yo nunca he hecho una videollamada en pijama fingiendo estar arreglado.
Yo Nunca,Azul,Yo nunca he perdido las llaves de casa estando de fiesta.
Yo Nunca,Azul,Yo nunca he mandado un audio de más de 3 minutos.
Yo Nunca,Azul,Yo nunca me he arrepentido de una publicación en redes sociales.
Yo Nunca,Azul,Yo nunca he fingido conocer una canción para no quedar mal.
Yo Nunca,Azul,Yo nunca he llegado tarde por quedarme dormido con la alarma puesta.
Evento,Morado,Nueva regla: hasta que alguien vuelva a caer en un Evento nadie puede decir la palabra no.
Evento,Morado,Todos cambian de sitio con la persona que tienen enfrente.
Evento,Morado,El jugador con el móvil más nuevo reparte dos tragos.
Evento,Morado,Se declara ronda de silencio: el primero en hablar bebe.
Evento,Morado,Todos brindan por el peor día de la semana de alguien del grupo.
Evento,Morado,Intercambia un objeto que lleves puesto con el jugador de tu derecha hasta el final de la ronda.
Evento,Morado,El grupo elige a un capitán que decide quién bebe en la próxima ronda.
Evento,Morado,Se abre una votación: el grupo decide quién ha sido el más cotilla de la noche y esa persona bebe.
Evento,Morado,Nueva regla: prohibido llamar a cualquiera por su nombre de pila hasta el final de la partida.
Evento,Morado,Todos los jugadores brindan a la vez y beben.
Evento,Morado,El último en tocarse la nariz bebe.
Evento,Morado,Ronda de aplausos para el jugador que va ganando y por presumir bebe.
Evento,Morado,Cambia tu sitio con el jugador que quieras del grupo.
Evento,Morado,Todos deben enseñar la última foto de su carrete sin excusas.
Verdad,Verde,¿Cuál es la mentira más grande que le has dicho a un amigo?
Verdad,Verde,¿A quién del grupo llamarías primero si tuvieras un problema grave?
Verdad,Verde,¿Cuál es tu mayor manía que la gente no conoce?
Verdad,Verde,¿Qué es lo más vergonzoso que te ha pasado en una cita?
Verdad,Verde,¿Has fingido alguna vez que te caía bien alguien?
Verdad,Verde,¿Cuál es el rumor más raro que se ha dicho sobre ti?
Verdad,Verde,¿Qué app borrarías del móvil si supieras que alguien va a revisarlo?
Verdad,Verde,¿A quién del grupo admiras más y por qué?
Verdad,Verde,¿Cuál ha sido tu peor decisión de esta semana?
Verdad,Verde,¿Qué secreto guardas que nadie de aquí sabe?
Verdad,Verde,¿Cuál es tu red social favorita para stalkear a la gente?
Verdad,Verde,¿Alguna vez le has copiado el estilo a alguien de este grupo?
Verdad,Verde,¿Qué es lo que más miedo te da del futuro?
Verdad,Verde,¿Cuál es la excusa más tonta que has usado para no ir a un plan?
Verdad,Verde,¿A quién del grupo le mentirías sin sentir culpa?
Verdad,Verde,¿Cuál es tu mayor inseguridad?
Reto,Rosa,Haz de streamer narrando la fiesta durante un minuto.
Reto,Rosa,Manda un audio cantando a la última persona con la que hablaste por WhatsApp.
Reto,Rosa,Deja que el grupo publique una story en tu Instagram.
Reto,Rosa,Imita al jugador de tu derecha durante toda la ronda.
Reto,Rosa,Haz diez flexiones o bebe el doble.
Reto,Rosa,Habla con acento random hasta tu próximo turno.
Reto,Rosa,Baila veinte segundos sin música.
Reto,Rosa,Deja que alguien del grupo te maquille o te peine como quiera.
Reto,Rosa,Enséñale al grupo tu mejor selfie fallida.
Reto,Rosa,Llama a la primera persona de tu agenda y dile que la echas de menos.
Reto,Rosa,Cambia tu foto de perfil por la que elija el grupo durante diez minutos.
Reto,Rosa,Cuenta un secreto cualquiera sin decir de quién es.
Reto,Rosa,Haz una imitación de otro jugador del grupo.
Reto,Rosa,Deja que te hagan una pregunta sin poder decir paso.
Reto,Rosa,Enseña las últimas tres fotos de tu carrete al grupo.
Reto,Rosa,Habla solo con preguntas durante los próximos cinco minutos.
Hot,Rojo,¿A quién del grupo besarías si no hubiera consecuencias?
Hot,Rojo,Describe cuál sería tu cita perfecta con alguien de aquí.
Hot,Rojo,¿Cuál ha sido tu beso más incómodo?
Hot,Rojo,Haz un cumplido subido de tono a la persona de tu derecha.
Hot,Rojo,¿Alguna vez te has enamorado de alguien de este grupo?
Hot,Rojo,Susúrrale algo al oído a la persona que tengas más cerca.
Hot,Rojo,¿Qué es lo primero que te fijas en alguien que te atrae?
